Region,Month,Year,Humidity,Temperature,Population Density,Dengue_Cases
3,3,2013,22.6817899316,27.31,439.0186866264,12.248924
3,4,2013,11.7930391548,31.93,439.0423331978,9.082535
3,5,2013,16.8085767557,34.11,439.0598670491,3.007311
3,6,2013,2.3896830329,32.19,439.0656726688,18.793803
3,7,2013,5.5407085146,31.01,439.1019541418,56.707138
3,8,2013,1.0596643878,30.3,439.2114273812,39.18595
3,9,2013,0.8545680547,29.92,439.2870759333,23.10403
3,10,2013,0.9477936607,29.55,439.3316783078,12.604953
3,11,2013,21.5817277812,27.6,439.3560121939,44.829394
3,12,2013,24.5587321318,24.72,439.4425554256,25.11143
3,1,2014,24.7638284649,24.46,439.4910330897,6.491048
3,2,2014,24.6208825357,24.01,439.5035640704,2.585986
3,3,2014,16.3859540087,27.04,439.5085563213,19.137785
3,4,2014,11.0285891858,31.79,439.5455018522,35.287154
3,5,2014,2.5077688005,32.68,439.6136237711,27.670792
3,6,2014,10.6619018024,31.92,439.6670422885,24.466257
3,7,2014,14.6830329397,31.05,439.7142744449,16.194083
3,8,2014,10.3822249845,29.58,439.7455371534,51.734619
3,9,2014,2.3834679925,30.67,439.8454109352,24.898496
3,10,2014,20.2952144189,29.87,439.8934775298,4.501255
3,11,2014,21.749533872,27.78,439.9021672113,2.399675
3,12,2014,24.7203231821,24.44,439.9067997885,9.785012
3,1,2015,23.9123679304,23.57,439.9256897731,17.330592
3,2,2015,23.875077688,25.26,439.9591465144,22.053783
3,3,2015,23.9247980112,28.86,440.001721385,19.772863
3,4,2015,15.609073959,32.42,440.0398929352,18.408711
3,5,2015,16.7526413922,33.02,440.0754309874,54.199353
3,6,2015,2.7252952144,33.12,440.180062943,19.934214
3,7,2015,0.077688005,30.61,440.2185459816,2.207579
3,8,2015,1.8241143567,29.55,440.2228077171,2.398266
3,9,2015,1.6935985084,29.59,440.2274375742,9.160351
3,10,2015,18.0950901181,29.35,440.2451216495,10.898544
3,11,2015,19.7296457427,26.88,440.2661613098,16.626513
3,12,2015,24.6457426973,23.73,440.2982588252,18.284031
3,1,2016,22.0851460534,22.67,440.3335561823,19.891922
3,2,2016,23.5021752641,24.36,440.3719575762,41.690003
3,3,2016,13.8626476072,29.22,440.4524402074,16.657229
3,4,2016,13.9247980112,30.79,440.4845970202,2.231072
3,5,2016,8.1385954009,33.06,440.488904109,1.256332
3,6,2016,2.5823492853,31.7,440.4913294603,8.592155
3,7,2016,0.8980733375,29.81,440.5079166321,9.747403
3,8,2016,1.233685519,29.81,440.5267340125,8.931509
3,9,2016,1.7681789932,30.06,440.5439763078,14.5128
3,10,2016,7.1814791796,29.25,440.5719932962,10.693262
3,11,2016,24.7078931013,27.69,440.5926366592,22.852245
3,12,2016,24.8508390305,23.69,440.6367529623,14.317852
4,1,2008,24.6581727781,18.27,398.0524233432,5.815181
4,2,2008,24.4592914854,19.16,398.072069225,2.155903
4,3,2008,23.781852082,23.02,398.079352681,5.07309
4,4,2008,23.844002486,25.73,398.0964914986,12.302083
